2023/12/13
11:56:08.42
2e-05
N,mm,ms
217.29,0.0,0.0
467.54,0.09200000000000585,0.01999999999998181
728.58,0.1630000000000038,0.03999999999996362
900.08,0.18299999999999983,0.060000000000002274
984.96,0.24600000000000222,0.07999999999998408
922.54,0.2750000000000057,0.13999999999998636
1107.5,0.31700000000000017,0.15999999999996817
1376.4,0.36700000000000443,0.18000000000000682
1536.8,0.4590000000000032,0.2799999999999727
1735.1,0.5920000000000059,0.30000000000001137
1927.3,0.6670000000000016,0.3199999999999932
3949.5,0.7460000000000022,0.339999999999975
4027.0,0.7790000000000035,0.3599999999999568
3868.7,0.8500000000000014,0.39999999999997726
3735.1,0.8790000000000049,0.4199999999999591
3712.0,0.9340000000000046,0.4399999999999977
3486.0,0.9460000000000051,0.45999999999997954
2882.5,1.0250000000000057,0.47999999999996135
2769.7,1.054000000000002,0.5
2281.1,1.125,0.5199999999999818
1489.3,1.2460000000000022,0.5399999999999636
864.79,1.4170000000000016,0.5600000000000023
810.54,1.5210000000000008,0.5799999999999841
626.5,1.5590000000000046,0.5999999999999659
408.92,1.6840000000000046,0.6200000000000045
1299.1,1.7210000000000036,0.6599999999999682
1152.7,1.804000000000002,0.6800000000000068
1049.4,1.8880000000000052,0.6999999999999886
997.5,1.9420000000000002,0.7199999999999704
997.5,2.0250000000000057,0.7400000000000091
907.96,2.0590000000000046,0.7599999999999909
1154.4,2.088000000000001,0.7799999999999727
1470.0,2.1170000000000044,0.8000000000000114
1330.3,2.1500000000000057,0.8199999999999932
1232.0,2.163000000000004,0.839999999999975
1297.3,2.200000000000003,0.8799999999999955
1504.1,2.271000000000001,0.9199999999999591
1648.5,2.342000000000006,0.9399999999999977
1690.2,2.4340000000000046,0.9599999999999795
1971.1,2.4380000000000024,0.9799999999999613
2002.6,2.4550000000000054,1.0199999999999818
2069.4,2.459000000000003,1.079999999999984
1997.6,2.4840000000000018,1.099999999999966
1935.2,2.4920000000000044,1.1200000000000045
1701.9,2.530000000000001,1.1399999999999864
1524.8,2.5800000000000054,1.1599999999999682
1380.2,2.655000000000001,1.1800000000000068
1226.5,2.700000000000003,1.1999999999999886
1065.8,2.784000000000006,1.2199999999999704
1141.3,2.892000000000003,1.240000000000009
1336.7,2.9299999999999997,1.259999999999991
1245.4,2.996000000000002,1.2799999999999727
1149.8,3.0500000000000043,1.3000000000000114
1192.6,3.1670000000000016,1.3199999999999932
1297.9,3.25,1.339999999999975
1295.0,3.4000000000000057,1.3599999999999568
1415.2,3.4710000000000036,1.3799999999999955
1612.6,3.480000000000004,1.3999999999999773
1620.8,3.5090000000000003,1.419999999999959
1768.7,3.5549999999999997,1.5600000000000023
1612.0,3.5960000000000036,1.579999999999984
1471.2,3.6380000000000052,1.599999999999966
1430.0,3.7630000000000052,1.6200000000000045
1505.3,3.896000000000001,1.6399999999999864
1532.1,3.9299999999999997,1.6599999999999682
1511.4,3.963000000000001,1.6800000000000068
1463.9,3.9840000000000018,1.6999999999999886
1755.3,4.005000000000003,1.8799999999999955
1766.6,4.092000000000006,1.8999999999999773
1835.8,4.142000000000003,1.9399999999999977
1787.0,4.1710000000000065,1.9599999999999795
1864.6,4.188000000000002,1.9799999999999613
1941.6,4.230000000000004,2.0
1946.9,4.376000000000005,2.019999999999982
1924.1,4.409000000000006,2.0399999999999636
1916.3,4.534000000000006,2.0600000000000023
1932.0,4.7010000000000005,2.079999999999984
1895.0,4.8260000000000005,2.099999999999966
1776.8,4.871000000000002,2.1200000000000045
1816.8,4.901000000000003,2.1399999999999864
1919.8,4.901000000000003,2.159999999999968
2154.8,4.917000000000002,2.419999999999959
2213.5,4.917000000000002,2.4399999999999977
2456.4,4.9210000000000065,2.579999999999984
2526.4,4.984000000000002,2.599999999999966
2500.8,5.092000000000006,2.6200000000000045
2502.2,5.196000000000005,2.6399999999999864
2762.7,5.251000000000005,2.759999999999991
2844.0,5.251000000000005,2.7799999999999727
2885.2,5.271000000000001,2.8000000000000114
2900.3,5.284000000000006,2.819999999999993
2907.9,5.2960000000000065,2.839999999999975
2923.4,5.342000000000006,2.859999999999957
2881.4,5.434000000000005,2.8799999999999955
2911.4,5.572000000000003,2.8999999999999773
3010.9,5.588000000000001,2.919999999999959
2972.7,5.597000000000001,2.9399999999999977
3008.0,5.617000000000004,3.019999999999982
3078.3,5.722000000000001,3.0399999999999636
3097.8,5.801000000000002,3.0600000000000023
3071.8,5.905000000000001,3.079999999999984
3229.9,5.93,3.099999999999966
3379.5,6.030000000000001,3.1200000000000045
3329.4,6.063000000000002,3.1399999999999864
3299.0,6.138000000000005,3.159999999999968
3648.2,6.167000000000002,3.4399999999999977
3578.5,6.167000000000002,3.4599999999999795
2058.0,6.217000000000006,3.7199999999999704
1962.3,6.263000000000005,4.0
2014.8,6.3260000000000005,4.019999999999982
2023.9,6.426000000000002,4.039999999999964
1940.8,6.4879999999999995,4.060000000000002
1932.3,6.617000000000004,4.079999999999984
1981.6,6.7379999999999995,4.099999999999966
