2023/11/13
12:58:12.77
2e-05
N,mm,ms
170.33,0.0,0.0
891.63,0.06300000000000239,0.3199999999999932
905.92,0.1460000000000008,0.339999999999975
918.17,0.30000000000000426,0.36000000000001364
945.88,0.45000000000000284,0.37999999999999545
963.38,0.5790000000000006,0.39999999999997726
965.13,0.767000000000003,0.4200000000000159
1012.4,0.838000000000001,0.4399999999999977
1090.0,0.9420000000000002,0.45999999999997954
1132.0,1.033999999999999,0.47999999999996135
1160.8,1.1090000000000018,0.5
1200.8,1.1380000000000052,0.5199999999999818
1201.1,1.158999999999999,0.5399999999999636
1193.5,1.1709999999999994,0.5799999999999841
1428.9,1.2250000000000014,0.7599999999999909
1496.8,1.4250000000000043,0.7799999999999727
1591.3,1.6380000000000052,0.8000000000000114
1672.1,1.8250000000000028,0.8199999999999932
1713.0,1.9960000000000022,0.839999999999975
1692.3,2.088000000000001,0.8600000000000136
1646.2,2.1799999999999997,0.8799999999999955
1308.4,2.2550000000000026,1.0399999999999636
1190.6,2.442,1.0600000000000023
944.42,2.5800000000000054,1.079999999999984
639.04,2.692,1.099999999999966
632.92,2.7590000000000003,1.1200000000000045
475.13,2.8049999999999997,1.1399999999999864
133.29,2.8419999999999987,1.1599999999999682
274.75,2.8760000000000048,1.3999999999999773
266.58,2.905000000000001,1.420000000000016
243.54,2.926000000000002,1.4399999999999977
252.29,2.9710000000000036,1.4599999999999795
225.46,3.067,1.5
489.71,3.1260000000000048,1.5199999999999818
780.21,3.2920000000000016,1.5399999999999636
865.38,3.4010000000000034,1.5600000000000023
587.42,3.446000000000005,1.579999999999984
290.79,3.5010000000000048,1.7799999999999727
452.67,3.6880000000000024,1.8000000000000114
592.08,3.838000000000001,1.8199999999999932
507.21,3.9710000000000036,1.839999999999975
372.75,4.100999999999999,1.8600000000000136
379.17,4.205000000000005,1.8799999999999955
378.29,4.288000000000004,1.8999999999999773
124.54,4.341999999999999,1.920000000000016
159.54,4.380000000000003,1.9399999999999977
340.67,4.417000000000002,2.099999999999966
338.92,4.600999999999999,2.1200000000000045
409.79,4.776000000000003,2.1399999999999864
454.71,4.975999999999999,2.159999999999968
371.88,5.091999999999999,2.180000000000007
328.13,5.263000000000005,2.1999999999999886
363.13,5.350999999999999,2.4599999999999795
399.0,5.459000000000003,2.4799999999999613
452.96,5.517000000000003,2.5
502.25,5.567,2.519999999999982
660.33,5.572000000000003,2.659999999999968
616.58,5.655000000000001,2.6999999999999886
692.13,5.780000000000001,2.7199999999999704
760.67,5.959000000000003,2.740000000000009
822.5,6.134,2.759999999999991
825.13,6.234000000000002,2.7799999999999727
737.33,6.280000000000001,2.8000000000000114
756.88,6.350999999999999,2.819999999999993
866.83,6.359000000000002,2.839999999999975
868.88,6.417999999999999,2.8600000000000136
858.96,6.417999999999999,2.8799999999999955
837.67,6.443000000000005,2.8999999999999773
