2023/12/13
11:58:13.47
2e-05
N,mm,ms
7.0,0.0,0.0
18.375,0.12099999999999511,0.01999999999998181
39.083,0.2959999999999994,0.03999999999996362
65.625,0.3709999999999951,0.060000000000002274
99.167,0.4749999999999943,0.07999999999998408
143.21,0.6039999999999992,0.0999999999999659
208.25,0.6289999999999978,0.12000000000000455
758.63,0.6879999999999953,0.19999999999998863
938.88,0.6920000000000002,0.21999999999997044
1146.5,0.8339999999999961,0.2400000000000091
1380.5,0.945999999999998,0.2599999999999909
1820.6,1.0419999999999945,0.30000000000001137
1918.9,1.1879999999999953,0.3199999999999932
1936.7,1.2959999999999994,0.339999999999975
2078.7,1.4709999999999965,0.37999999999999545
2392.0,1.4919999999999973,0.39999999999997726
2778.7,1.5,0.4199999999999591
3142.4,1.529999999999994,0.4399999999999977
3406.4,1.6709999999999994,0.45999999999997954
3635.6,1.7629999999999981,0.47999999999996135
3918.5,1.8249999999999957,0.5199999999999818
4152.8,1.8669999999999973,0.5399999999999636
4484.1,1.8709999999999951,0.5600000000000023
4738.7,1.9379999999999953,0.5799999999999841
4845.2,2.0749999999999957,0.5999999999999659
4866.5,2.0959999999999965,0.6200000000000045
4927.1,2.158999999999999,0.6399999999999864
456.75,2.1879999999999953,0.839999999999975
394.63,2.2589999999999932,0.8600000000000136
457.63,2.3419999999999987,0.8799999999999955
538.71,2.445999999999998,0.8999999999999773
267.17,2.4549999999999983,0.9599999999999795
105.58,2.5379999999999967,0.9799999999999613
271.25,2.6299999999999955,1.0199999999999818
380.33,2.7249999999999943,1.0399999999999636
617.75,2.7919999999999945,1.099999999999966
472.21,2.891999999999996,1.1200000000000045
634.96,2.908999999999999,1.2799999999999727
810.25,3.067,1.3000000000000114
1059.3,3.2339999999999947,1.3199999999999932
1186.5,3.425999999999995,1.339999999999975
1260.9,3.5259999999999962,1.3600000000000136
1099.9,3.7209999999999965,1.3799999999999955
838.54,3.9339999999999975,1.3999999999999773
714.58,3.945999999999998,1.419999999999959
760.08,4.0049999999999955,1.4399999999999977
1249.5,4.087999999999994,1.5199999999999818
1279.5,4.141999999999996,1.5399999999999636
1258.5,4.170999999999999,1.5600000000000023
1284.2,4.18,1.599999999999966
1353.6,4.195999999999998,1.6200000000000045
1481.4,4.2209999999999965,1.6599999999999682
1541.5,4.225999999999999,1.6800000000000068
1063.7,4.225999999999999,1.8199999999999932
1059.9,4.2549999999999955,1.839999999999975
848.75,4.283999999999999,1.8999999999999773
763.29,4.3089999999999975,1.9599999999999795
606.96,4.317,2.019999999999982
656.25,4.475999999999999,2.0399999999999636
686.58,4.512999999999998,2.0600000000000023
628.54,4.533999999999999,2.079999999999984
577.79,4.625999999999998,2.099999999999966
562.33,4.633999999999993,2.1200000000000045
666.75,4.637999999999998,2.1399999999999864
751.33,4.675999999999995,2.159999999999968
820.46,4.846999999999994,2.180000000000007
868.29,4.8969999999999985,2.1999999999999886
867.42,4.937999999999995,2.2199999999999704
814.92,5.033999999999999,2.240000000000009
845.83,5.096999999999994,2.259999999999991
964.54,5.154999999999994,2.3000000000000114
957.83,5.216999999999999,2.319999999999993
942.96,5.233999999999995,2.339999999999975
651.88,5.279999999999994,2.3999999999999773
816.38,5.321999999999996,2.4399999999999977
864.5,5.450999999999993,2.4599999999999795
942.08,5.533999999999999,2.4799999999999613
925.17,5.596999999999994,2.519999999999982
774.67,5.6839999999999975,2.5399999999999636
702.63,5.741999999999997,2.5600000000000023
684.25,5.817,2.599999999999966
849.92,5.817,2.7199999999999704
903.29,5.954999999999998,2.740000000000009
923.71,6.000999999999998,2.759999999999991
1056.7,6.029999999999994,2.839999999999975
574.29,6.1299999999999955,2.9799999999999613
513.92,6.137999999999998,3.0
660.92,6.300999999999995,3.019999999999982
1054.7,6.329999999999998,3.0600000000000023
1055.3,6.346999999999994,3.099999999999966
1133.7,6.3629999999999995,3.259999999999991
1000.4,6.4339999999999975,3.2799999999999727
1023.8,6.5219999999999985,3.3000000000000114
